Word,Category,WordClass,VerbTransitivity,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TransNote,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,See Also,TranslationFra,TranslationRus,TranslationZho
-abil,affix,t xfik,,TRUE,"which can (be), -able, -ible",,"-pova/e, -kapabla/e","que puede, -il",,"fähig, in der Lage, -fähig, -tauglich",,,,,Am oko abil.,,,,
-bimar,affix,t xfik,,TRUE,sick,,-malsana,"enfermo [-a, -e] de. alt: enfermo de, enferma de, enferme de.",,,,,,,Am oko bimar.,,,,
-bisu,affix,xfik,,TRUE,"which must be, must-",,-enda; -ende,que tiene que ser,,,,,,,Am oko bisu.,,,,
-bol,affix,b xfik,,TRUE,ball,,"-pilko, sfero","juego de pelota, -bol",,Ball,,,,,Am oko bol.,,,,
-cu,affix,b.nenoj xfik,,TRUE,"_intransitive verb marker_, become, get, turn (into)",,"-iĝo, -iĝi, _markilo de netransativa verbo_","hacerse (_marcador de verbo intransitivo_), volverse, tornarse; (_marcador de verbo copulativo_)",gramati: inharelexi#xafefikso_-cu,"_markiert intransitive Verben_, (jmd./etw.) werden",,-gi,,,Am oko cudu.,,,,
-din,affix,b xfik,,TRUE,day,,-tago,día,,Tag,,,,,Am oko din.,,,,
-do,affix,t xfik,,TRUE,_in an inactive state of_,,"_in neaktiva stato de_, -ita, -ite","en estado inactivo de, -do [-a, -e]. alt: -da, -de., -to [-a, -e]. alt: -ta, -te., -so [-a, -e]. alt: -sa, -se., -cho [-a, -e]. alt: -cha, -che.",,_in einem inaktiven Zustand befindend_,,,,,"Englisa (-ed), Espanisa (-ado, -ido), Putunhwa (的 “de”)",,,,
-doku,affix,b xfik,,TRUE,document,,dokumento,documento,,,,,,,Am oko doku.,,,,
-dom,affix,b xfik,,TRUE,"building, place, room, site (_with specific purpose_)",,"-ejo, loko, konstruaĵo, situo (_kun specifa celo_)","lugar, edificio, sitio (_con propósito específico_)",,"Gebäude, Ort, Stätte (_zu einem bestimmten Zweck_)",,,,,Am oko dom.,,,,
-dukan,affix,b xfik,,TRUE,store,,"-butiko, -vendejo",tienda de,,,,,,,Am oko dukan.,,,,
